rank,country_dependency,country_clean,is_dependency,admin_power,percent_total,un_2023_estimate,percent_change,official_figure,population_gap,accuracy_ratio,growth_flag,growth_category,official_date,official_year,missing_official_figure,missing_official_date,region,year
1.0,Haiti,Haiti,0,Independent,25.0,11724764.0,1.2,9801664.0,1923100.0,0.8359796410401097,1,Moderate growth,1 Jul 2012,2012.0,0,0,Caribbean,2023
2.0,Dominican Republic,Dominican Republic,0,Independent,24.0,11332973.0,0.9,10711155.0,621818.0,0.9451319614014787,1,Moderate growth,1 Jul 2023,2023.0,0,0,Caribbean,2023
3.0,Cuba,Cuba,0,Independent,24.0,11194449.0,-0.2,10055968.0,1138481.0,0.8982995054066529,0,Decline,1 Dec 2023,2023.0,0,0,Caribbean,2023
4.0,Puerto Rico (US),Puerto Rico,1,Independent,7.0,3260314.0,-1.6,3203295.0,57019.0,0.9825111937071092,0,Decline,1 Jul 2024,2024.0,0,0,Caribbean,2023
5.0,Jamaica,Jamaica,0,Independent,6.1,2825544.0,-0.1,2734092.0,91452.0,0.9676338432528391,0,Decline,1 Jul 2019,2019.0,0,0,Caribbean,2023
6.0,Trinidad and Tobago,Trinidad and Tobago,0,Independent,3.3,1534937.0,0.3,1365805.0,169132.0,0.8898117642613345,1,Moderate growth,30 Jun 2022,2022.0,0,0,Caribbean,2023
7.0,Bahamas,Bahamas,0,Independent,0.9,412624.0,0.6,395640.0,16984.0,0.9588390399007328,1,Moderate growth,1 Jul 2019,2019.0,0,0,Caribbean,2023
8.0,Guadeloupe (France),Guadeloupe,1,France,0.9,395839.0,0.0,390253.0,5586.0,0.9858882020215289,0,Stable,1 Jul 2020,2020.0,0,0,Caribbean,2023
9.0,Martinique (France),Martinique,1,France,0.8,366981.0,-0.1,372594.0,-5613.0,1.0152950697720045,0,Decline,1 Jul 2020,2020.0,0,0,Caribbean,2023
10.0,Barbados,Barbados,0,Independent,0.6,281996.0,0.1,269090.0,12906.0,0.9542333933814664,1,Moderate growth,1 May 2010,2010.0,0,0,Caribbean,2023
11.0,Curaçao (Netherlands),Curaçao,1,Netherlands,0.4,192077.0,0.5,148925.0,43152.0,0.7753400979815387,1,Moderate growth,1 Jan 2023,2023.0,0,0,Caribbean,2023
12.0,Saint Lucia,Saint Lucia,0,Independent,0.4,180251.0,0.2,178696.0,1555.0,0.9913731407870137,1,Moderate growth,1 Jul 2018,2018.0,0,0,Caribbean,2023
13.0,Grenada,Grenada,0,Independent,0.3,126184.0,0.6,112579.0,13605.0,0.8921812591136753,1,Moderate growth,1 Jul 2019,2019.0,0,0,Caribbean,2023
14.0,Aruba (Netherlands),Aruba,1,Netherlands,0.2,106277.0,0.4,108027.0,-1750.0,1.016466403831497,1,Moderate growth,31 Dec 2024,2024.0,0,0,Caribbean,2023
15.0,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,0,Independent,0.2,103699.0,-0.2,110418.0,-6719.0,1.064793295981639,0,Decline,1 Jul 2022,2022.0,0,0,Caribbean,2023
16.0,United States Virgin Islands (US),United States Virgin Islands,1,Independent,0.2,98750.0,-0.7,87146.0,11604.0,0.8824911392405064,0,Decline,1 Apr 2020,2020.0,0,0,Caribbean,2023
17.0,Antigua and Barbuda,Antigua and Barbuda,0,Independent,0.2,94298.0,0.6,100772.0,-6474.0,1.0686546904494263,1,Moderate growth,1 Jan 2022,2022.0,0,0,Caribbean,2023
18.0,Dominica,Dominica,0,Independent,0.2,73040.0,0.4,71293.0,1747.0,0.9760815991237678,1,Moderate growth,14 May 2011,2011.0,0,0,Caribbean,2023
19.0,Cayman Islands (UK),Cayman Islands,1,United Kingdom,0.1,69310.0,0.9,71432.0,-2122.0,1.0306160727167797,1,Moderate growth,10 Oct 2021,2021.0,0,0,Caribbean,2023
20.0,Saint Kitts and Nevis,Saint Kitts and Nevis,0,Independent,0.1,47755.0,0.2,47195.0,560.0,0.988273479216836,1,Moderate growth,15 May 2011,2011.0,0,0,Caribbean,2023
21.0,Turks and Caicos Islands (UK),Turks and Caicos Islands,1,United Kingdom,0.1,46062.0,0.8,46131.0,-69.0,1.0014979809821545,1,Moderate growth,1 Jul 2021,2021.0,0,0,Caribbean,2023
22.0,Sint Maarten (Netherlands),Sint Maarten,1,Netherlands,0.1,44222.0,0.1,42938.0,1284.0,0.9709646782144634,1,Moderate growth,1 Jan 2023,2023.0,0,0,Caribbean,2023
23.0,Saint Martin (France),Saint Martin,1,France,0.07,32077.0,0.9,36108.0,-4031.0,1.1256663653084764,1,Moderate growth,1 Jan 2020,2020.0,0,0,Caribbean,2023
24.0,British Virgin Islands (UK),British Virgin Islands,1,United Kingdom,0.07,31538.0,0.7,28054.0,3484.0,0.8895300906842539,1,Moderate growth,12 Jul 2010,2010.0,0,0,Caribbean,2023
25.0,Caribbean Netherlands (Netherlands),Caribbean Netherlands,1,Netherlands,0.06,27148.0,0.4,27726.0,-578.0,1.0212907028142035,1,Moderate growth,1 Jan 2022,2022.0,0,0,Caribbean,2023
26.0,Anguilla (UK),Anguilla,1,United Kingdom,0.03,15900.0,0.3,15780.0,120.0,0.9924528301886792,1,Moderate growth,1 Dec 2022,2022.0,0,0,Caribbean,2023
27.0,Saint Barthélemy (France),Saint Barthélemy,1,France,0.02,10994.0,0.2,10083.0,911.0,0.9171366199745316,1,Moderate growth,1 Jan 2020,2020.0,0,0,Caribbean,2023
28.0,Montserrat (UK),Montserrat,1,United Kingdom,0.01,4387.0,-0.1,4433.0,-46.0,1.010485525416002,0,Decline,1 Jul 2022,2022.0,0,0,Caribbean,2023
,100%,100%,0,Independent,46482286.0,0.6,43432864.0,,,,1,High growth,,,1,1,Caribbean,2023
